DATE,MABERK2URN
1990-01-01,7.1500000000000000
1991-01-01,10.9000000000000000
1992-01-01,10.6250000000000000
1993-01-01,8.5166666666666667
1994-01-01,7.7166666666666667
1995-01-01,6.3166666666666667
1996-01-01,5.2750000000000000
1997-01-01,4.8916666666666667
1998-01-01,3.9583333333333333
1999-01-01,3.8500000000000000
2000-01-01,3.0416666666666667
2001-01-01,3.5916666666666667
2002-01-01,4.4916666666666667
2003-01-01,5.0250000000000000
2004-01-01,4.6250000000000000
2005-01-01,4.3166666666666667
2006-01-01,4.2833333333333333
2007-01-01,4.4250000000000000
2008-01-01,5.1083333333333333
2009-01-01,7.7000000000000000
2010-01-01,8.5083333333333333
2011-01-01,7.8333333333333333
2012-01-01,7.3833333333333333
2013-01-01,7.3333333333333333
2014-01-01,6.5833333333333333
2015-01-01,5.3916666666666667
2016-01-01,4.6750000000000000
2017-01-01,4.5333333333333333
2018-01-01,4.2250000000000000
2019-01-01,3.7166666666666667
2020-01-01,9.8583333333333333
2021-01-01,6.6583333333333333
2022-01-01,4.3166666666666667
2023-01-01,.
