DATE,MAHAMP0URN
1990-01-01,6.7083333333333333
1991-01-01,9.7416666666666667
1992-01-01,9.4333333333333333
1993-01-01,8.8416666666666667
1994-01-01,7.9166666666666667
1995-01-01,6.6416666666666667
1996-01-01,5.3500000000000000
1997-01-01,4.8000000000000000
1998-01-01,4.3250000000000000
1999-01-01,4.1500000000000000
2000-01-01,3.4416666666666667
2001-01-01,4.2833333333333333
2002-01-01,5.6583333333333333
2003-01-01,6.4750000000000000
2004-01-01,6.0416666666666667
2005-01-01,5.7750000000000000
2006-01-01,5.8000000000000000
2007-01-01,5.6083333333333333
2008-01-01,6.4083333333333333
2009-01-01,9.3000000000000000
2010-01-01,9.9750000000000000
2011-01-01,9.2750000000000000
2012-01-01,8.6000000000000000
2013-01-01,8.5583333333333333
2014-01-01,7.5583333333333333
2015-01-01,6.3750000000000000
2016-01-01,5.4416666666666667
2017-01-01,5.1916666666666667
2018-01-01,4.7500000000000000
2019-01-01,4.3083333333333333
2020-01-01,11.0250000000000000
2021-01-01,7.5583333333333333
2022-01-01,4.7833333333333333
2023-01-01,.
