DATE,MABRIS5URN
1990-01-01,9.2333333333333333
1991-01-01,12.5250000000000000
1992-01-01,12.0000000000000000
1993-01-01,10.3666666666666667
1994-01-01,9.0166666666666667
1995-01-01,8.2333333333333333
1996-01-01,7.4750000000000000
1997-01-01,6.3333333333333333
1998-01-01,5.0083333333333333
1999-01-01,4.6833333333333333
2000-01-01,3.8500000000000000
2001-01-01,4.8416666666666667
2002-01-01,6.0416666666666667
2003-01-01,6.5166666666666667
2004-01-01,6.0916666666666667
2005-01-01,5.9416666666666667
2006-01-01,5.9250000000000000
2007-01-01,5.8250000000000000
2008-01-01,6.9916666666666667
2009-01-01,10.6500000000000000
2010-01-01,10.2833333333333333
2011-01-01,9.4083333333333333
2012-01-01,8.7583333333333333
2013-01-01,8.6166666666666667
2014-01-01,7.3500000000000000
2015-01-01,6.1083333333333333
2016-01-01,5.0916666666666667
2017-01-01,4.8500000000000000
2018-01-01,4.3833333333333333
2019-01-01,3.9333333333333333
2020-01-01,10.9083333333333333
2021-01-01,6.5333333333333333
2022-01-01,4.4416666666666667
2023-01-01,.
