DATE,MAFRAN1URN
1990-01-01,5.2333333333333333
1991-01-01,7.8583333333333333
1992-01-01,8.0333333333333333
1993-01-01,6.3750000000000000
1994-01-01,5.3916666666666667
1995-01-01,4.7833333333333333
1996-01-01,4.0416666666666667
1997-01-01,3.8583333333333333
1998-01-01,3.3083333333333333
1999-01-01,3.0333333333333333
2000-01-01,2.5583333333333333
2001-01-01,3.1416666666666667
2002-01-01,3.9666666666666667
2003-01-01,4.4916666666666667
2004-01-01,4.2083333333333333
2005-01-01,4.2583333333333333
2006-01-01,4.2916666666666667
2007-01-01,4.1916666666666667
2008-01-01,4.9583333333333333
2009-01-01,7.5833333333333333
2010-01-01,7.3833333333333333
2011-01-01,6.5166666666666667
2012-01-01,6.1000000000000000
2013-01-01,6.0750000000000000
2014-01-01,5.3000000000000000
2015-01-01,4.3833333333333333
2016-01-01,3.6333333333333333
2017-01-01,3.4333333333333333
2018-01-01,3.1083333333333333
2019-01-01,2.8333333333333333
2020-01-01,8.0000000000000000
2021-01-01,4.9833333333333333
2022-01-01,3.1000000000000000
2023-01-01,.
