DATE,MASUFF5URN
1990-01-01,6.1500000000000000
1991-01-01,8.6500000000000000
1992-01-01,8.5166666666666667
1993-01-01,7.1250000000000000
1994-01-01,6.2166666666666667
1995-01-01,5.5833333333333333
1996-01-01,4.8500000000000000
1997-01-01,4.3166666666666667
1998-01-01,3.5500000000000000
1999-01-01,3.5500000000000000
2000-01-01,3.1333333333333333
2001-01-01,4.2333333333333333
2002-01-01,5.8583333333333333
2003-01-01,6.4750000000000000
2004-01-01,5.6333333333333333
2005-01-01,5.2833333333333333
2006-01-01,4.9333333333333333
2007-01-01,4.5083333333333333
2008-01-01,5.1916666666666667
2009-01-01,7.6916666666666667
2010-01-01,7.4166666666666667
2011-01-01,6.6166666666666667
2012-01-01,6.1666666666666667
2013-01-01,6.1083333333333333
2014-01-01,5.2666666666666667
2015-01-01,4.3916666666666667
2016-01-01,3.6833333333333333
2017-01-01,3.4666666666666667
2018-01-01,3.1083333333333333
2019-01-01,2.7416666666666667
2020-01-01,10.3166666666666667
2021-01-01,5.9666666666666667
2022-01-01,3.3500000000000000
2023-01-01,.
