DATE,MANORF1URN
1990-01-01,5.1666666666666667
1991-01-01,7.3000000000000000
1992-01-01,7.3333333333333333
1993-01-01,5.9416666666666667
1994-01-01,5.0583333333333333
1995-01-01,4.4500000000000000
1996-01-01,3.6250000000000000
1997-01-01,3.1583333333333333
1998-01-01,2.5083333333333333
1999-01-01,2.4500000000000000
2000-01-01,2.4166666666666667
2001-01-01,3.2333333333333333
2002-01-01,4.5833333333333333
2003-01-01,5.0416666666666667
2004-01-01,4.4500000000000000
2005-01-01,4.1083333333333333
2006-01-01,4.1333333333333333
2007-01-01,3.9250000000000000
2008-01-01,4.6833333333333333
2009-01-01,7.3000000000000000
2010-01-01,7.2416666666666667
2011-01-01,6.2583333333333333
2012-01-01,5.7166666666666667
2013-01-01,5.7333333333333333
2014-01-01,4.9916666666666667
2015-01-01,4.1583333333333333
2016-01-01,3.5000000000000000
2017-01-01,3.4000000000000000
2018-01-01,3.0666666666666667
2019-01-01,2.6583333333333333
2020-01-01,8.8916666666666667
2021-01-01,5.1416666666666667
2022-01-01,3.0750000000000000
2023-01-01,.
